"Olivia","Jones","olivia.jones@example.com","campervan","Expedition","19 ft"
"William","Brown","william.brown@test.com","motorboat","Camry","16'"
"Sophia","Miller","sophia.miller@random.org","bicycle","Fit","13 feet"
"James","Wilson","james.wilson@email.net","sailboat","Silverado",20
"Benjamin","Garcia","benjamin.garcia@company.com","motorboat","Mustang",15
"Isabella","Davis","isabella.davis@domain.org","campervan","Sienna",17
"Michael","Rodriguez","michael.rodriguez@example.net","bicycle","Accord",16
"Ava","Martinez","ava.martinez@test.com","motorboat","Tundra",20
"Daniel","Anderson","daniel.anderson@random.org","campervan","Explorer",18
"Emily","Thomas","emily.thomas@email.net","bicycle","Golf",14
